developer,app_name,price,year
kotoshiro,lost summoner kitty,4.99,2018
secret level srl,ironbound,0.0,2018
poolians.com,real pool 3d - poolians,0.0,2017
彼岸领域,弹炸人2222,0.99,2017
trickjump games ltd,battle royale trainer,3.99,2018
poppermost productions,snow - all access basic pass,9.99,2018
poppermost productions,snow - all access pro pass,18.99,2018
poppermost productions,snow - all access legend pass,29.99,2018
rewindapp,race,0.0,2018
stegalosaurus game development,army of tentacles: (not) a cthulhu dating sim: black goat of the woods edition,10.99,2018
copperpick studio,beach rules,3.99,2018
ghulam jewel,planetarium 2 - zen odyssey,2.99,2018
apillo,the first thrust of god,1.59,2018
poppermost productions,snow - starter pack,14.99,2018
apillo,the first thrust of god - all aircrafts,1.99,2018
poppermost productions,snow - lifetime pack,59.99,2018
tero lunkka,the warrior of treasures,0.99,2018
frozenpepper,rc plane 3 - canyon scenario,2.99,2017
frozenpepper,rc plane 3 - f-53b,2.99,2017
casey labrack,dinoblaster,4.99,2018
,robotpencil presents: understanding 3d for concept,4.99,2018
stainless games ltd,carmageddon max pack,9.99,1997
valve,half-life,9.99,1998
dev4play,fallen mage,1.99,2016
blueline games,lost cities,0.0,2018
games by brundle,twisted enhanced edition,0.0,2018
etggames,vaporwave simulator,0.99,2018
projectorgames,tactics forever,0.0,2018
unknown indie devs,christmas santa troubles,0.0,2017
the commander,underdone - soundtrack,8.99,2018
"lalalazero,urbanoff",bitcoin clicker,0.99,2018
strategy first,disciples ii: gallean's return,6.99,2006
strategy first,disciples ii: rise of the elves,6.99,2006
outerlight ltd.,the ship: murder party,9.99,2006
breakout studio,life of rome,0.0,2017
ultraint,souland,7.99,2017
seth albertus,darkness and a crowd,0.0,2018
tpm.co soft works,tarotica voo doo,10.99,2017
wonderbox games,chronicles of vinland,9.99,2017
wonderbox games,orbitality,9.99,2017
mad unicorn games,atomic adam: episode 1,1.99,2017
emanon studios,mirt. tales of the cold land. chapter 2,0.99,2017
glyphx games,advent rising,9.99,2005
introversion software,defcon,9.99,2006
outerlight ltd.,the ship: single player,9.99,2006
facepunch studios,garry's mod,9.99,2006
simbin,race - the wtcc game,39.99,2006
unknown worlds entertainment,zen of sudoku,0.0,2006
"cinemax, s.r.o.",gumboy - crazy adventures™,4.99,2006
sick puppies,ghost master®,4.99,2003
deepred,vegas: make it big™,4.99,2006
funcom,dreamfall: the longest journey,19.99,2006
bugbear entertainment,flatout 2™,9.99,2006
bugbear entertainment,flatout,7.49,2005
"capcom co., ltd.",lost planet™: extreme condition,14.99,2007
"firefly studios,firaxis games",civcity: rome,9.99,2006
arkane studios,arx fatalis,4.99,2002
funcom,the longest journey,9.99,2000
firaxis games,civilization iv®: warlords,4.99,2006
poptop,railroad tycoon 3,9.99,2003
"firaxis games,feral interactive (mac)",sid meier's railroads!,9.99,2006
poptop,railroad tycoon ii platinum,4.99,1998
elephant games,rip - trilogy™,4.99,2007
"microprose software, inc",x-com: terror from the deep,4.99,1995
"crystal dynamics,feral interactive (mac)",tomb raider: anniversary,8.99,2007
"capcom co., ltd.",devil may cry® 3 special edition,19.99,2006
telltale games,sam & max 101: culture shock,19.99,2006
id software,final doom,4.99,1996
freegamer,vigil: blood bitterness™,0.0,2007
telltale games,sam & max 102: situation: comedy,19.99,2006
id software,ultimate doom,4.99,1995
id software,master levels for doom ii,14.99,1995
id software,doom ii,4.99,1994
id software,wolfenstein 3d,4.99,1994
gray matter studios,return to castle wolfenstein,4.99,2001
ritual entertainment,quake mission pack 1: scourge of armagon,2.99,1997
id software,spear of destiny,2.99,1993
terminal reality,bloodrayne,9.99,2003
rogue entertainment,quake mission pack 2: dissolution of eternity,2.99,2007
id software,quake,4.99,2007
metamorf,genesis rising,4.99,2007
relic entertainment,"warhammer® 40,000: dawn of war® – winter assault",12.99,2006
"2k boston,2k australia",bioshock™,19.99,2007
relic entertainment,"warhammer® 40,000: dawn of war® - game of the year edition",12.99,2006
relic entertainment,"warhammer® 40,000: dawn of war® - dark crusade",12.99,2006
the creative assembly,rome: total war™ - collection,9.99,2004
the creative assembly,rome: total war™ - alexander,4.99,2006
big fish games,mystery case files: madame fate®,6.99,2007
rockstar north,grand theft auto,0.0,1998
rockstar north,grand theft auto 2,0.0,1999
rockstar north,manhunt,9.99,2004
rockstar san diego,midnight club 2,9.99,2003
remedy entertainment,max payne 2: the fall of max payne,9.99,2003
crystal dynamics,tomb raider: legend,6.99,2006
remedy entertainment,max payne,9.99,2001
ea los angeles,command & conquer: red alert 3,19.99,2008
infinite interactive,puzzlequest: challenge of the warlords,9.99,2007
momentum digital media technologies,culpa innata,9.99,2007
"gamebryo,virtual playground",prison tycoon 3™: lockdown,9.99,2007
scs software,hunting unlimited™ 2008,9.99,2007
scs software,18 wheels of steel: american long haul,9.99,2007
pivotal games,conflict: denied ops,5.99,2008
bohemia interactive,arma: combat operations,7.99,2007
,tycoon city: new york,9.99,2006
spellbound,desperados 2: cooper's revenge,9.99,2006
haggard games,death to spies,4.99,2007
eugen systems,act of war: high treason,2.99,2006
"frontier,aspyr (mac)",rollercoaster tycoon® 3: platinum,19.99,2006
eugen systems,act of war: direct action,2.99,2005
"epic games, inc.",unreal 2: the awakening,14.99,2003
"epic games, inc.",unreal gold,9.99,1998
sanzaru games,ninja reflex: steamworks edition,4.99,2008
ubisoft,tom clancy's splinter cell®,9.99,2003
crytek studios,far cry®,9.99,2004
"epic games, inc.",unreal tournament: game of the year edition,9.99,2000
ubisoft montreal,tom clancy's rainbow six® vegas,9.99,2006
ubisoft,silent hunter® iii,9.99,2005
last day of work,virtual villagers - the secret city,9.99,2008
spintop games,mystery p.i.™ - the vegas heist,4.99,2008
mumbojumbo,luxor,9.99,2008
mumbojumbo,reaxxion,9.99,2008
mumbojumbo,little farm,9.99,2008
mumbojumbo,7 wonders ii,9.99,2008
mumbojumbo,luxor amun rising,9.99,2005
mumbojumbo,luxor 3,9.99,2007
ubisoft,petz® horsez® 2,9.99,2007
mumbojumbo,luxor 2,9.99,2005
"ubisoft bulgaria,ubisoft montpellier",rayman raving rabbids™,9.99,2007
ubisoft romania,silent hunter®: wolves of the pacific,9.99,2007
