año_lanzamiento,review
1989,[2]
1990,"[0, 2, 2, 2, 2]"
1991,[2]
1992,"[2, 2, 2]"
1993,"[2, 0, 0, 0, 2]"
1994,"[1, 2, 2, 2, 0, 0, 0, 0, 2, 2, 2, 2, 2, 1, 2]"
1995,"[2, 0, 2, 2, 2, 2, 0, 1, 2, 2, 0, 2, 2, 2, 0, 1]"
1996,"[0, 0, 0, 2, 2, 2, 2, 2]"
1997,"[2, 0, 2, 2, 2, 2, 0, 2, 2, 2, 2, 1, 1, 0, 2, 2, 2, 2, 2, 2, 1, 2, 2, 2, 1, 1, 2, 2, 0, 1, 2, 1, 2, 2, 2, 1, 2, 0, 2, 2, 1, 1, 0, 0, 2, 2, 0, 2]"
1998,"[0, 0, 0, 2, 1, 0, 0, 1, 2, 0, 2, 1, 2, 2, 2, 1, 2, 2, 1, 0, 1, 2, 2, 0, 2, 2, 0, 2, 0, 2, 2, 2, 2, 2, 1, 1, 0, 2, 1, 0, 2, 2, 2, 2, 2, 2, 1, 2, 2, 2, 0, 2, 1, 2, 2, 0, 2, 0, 0, 1, 0, 2, 2, 1, 0, 2, 0, 2, 2, 2, 2, 2, 2, 2, 2, 1, 2, 2, 2, 2, 1, 1, 2, 2, 0, 2, 2, 2, 2, 0, 2, 2, 1, 0, 2, 2]"
1999,"[1, 2, 0, 2, 0, 2, 1, 1, 1, 0, 1, 0, 2, 2, 2, 2, 1, 2, 2, 2, 2, 2, 1, 0, 1, 2, 2, 2, 1, 2, 0, 2, 2, 0, 1, 2, 2, 2, 2, 1, 2, 0, 0, 2, 1, 0, 2, 2, 1, 2, 2, 0, 1, 1, 1, 2, 2, 0, 2, 0, 1, 1, 2, 1, 1, 0, 1, 2, 2, 2, 2, 1, 2, 0, 2, 1]"
2000,"[0, 1, 2, 1, 0, 2, 1, 2, 1, 0, 1, 2, 0, 0, 2, 0, 2, 2, 1, 0, 2, 0, 2, 2, 2, 1, 1, 2, 2, 2, 2, 0, 2, 1, 2, 1, 2, 1, 2, 2, 2, 2, 0, 1, 2, 0, 2, 1, 2, 2, 2, 1, 1, 0, 1, 2, 2, 2, 0, 2, 2, 0, 2, 0, 1, 2, 2, 1, 2, 2, 2, 2, 2, 1, 1, 2, 0, 1, 2, 1, 2, 1, 1, 1, 2, 2, 1, 2, 0, 1, 1, 2, 1, 2, 1, 0, 2, 1, 1]"
2001,"[2, 2, 2, 1, 0, 1, 0, 2, 0, 0, 0, 2, 2, 2, 2, 0, 2, 2, 2, 2, 0, 2, 2, 2, 2, 1, 2, 0, 2, 2, 2, 2, 0, 2, 2]"
2002,"[1, 2, 2, 2, 2, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 0, 2, 2, 2, 2, 2, 2, 0, 0, 2, 2, 1, 2, 1, 0, 0, 0, 0, 0, 2, 2, 0, 2, 0, 2, 2, 1, 2, 2]"
2003,"[1, 1, 2, 0, 2, 2, 1, 1, 0, 2, 1, 0, 2, 0, 2, 1, 0, 2, 0, 1, 1, 2, 2, 0, 2, 2, 1, 1, 2, 1, 2, 2, 0, 1, 0, 2, 1, 2, 1, 2, 0, 0, 2, 2, 2, 2, 0, 2, 2, 2, 2, 2, 0, 0, 2, 0, 0, 2, 0, 2, 2, 2, 2, 2, 0, 0, 2, 2, 2, 2, 1, 1, 2, 1, 2, 2, 1, 2, 2, 1, 0, 1, 2, 2, 2, 2, 2, 2, 2, 0, 2, 2, 0, 1, 2, 2, 1, 0, 2, 2, 0, 1, 2, 2, 2, 1, 1, 2, 2, 2, 1, 1, 1, 2, 2, 1, 0, 2, 2, 1, 2, 2, 2, 1, 2, 2, 2, 0, 1, 2, 2, 1, 1, 0, 1, 0, 1, 2, 0, 2, 0, 0, 2, 0, 1, 0, 0, 2, 1, 1, 2, 1, 1, 1, 1, 0, 2, 2, 2, 2, 2, 1, 0, 0, 2, 0, 0, 2, 0, 2, 0, 2, 0, 2, 0, 1, 1, 2, 1, 2, 0, 0, 2, 2, 0, 2, 0, 2, 2, 0, 2, 0, 0, 2, 1, 2, 0, 1, 2, 0, 1, 1, 1, 2, 0, 2, 2, 2, 2, 1, 0, 0, 2, 0, 2, 1, 2]"
2004,"[2, 2, 0, 2, 2, 2, 1, 2, 1, 1, 2, 0, 1, 1, 1, 1, 2, 2, 0, 2, 2, 0, 1, 2, 2, 2, 2, 2, 2, 1, 0, 0, 1, 1, 1, 2, 2, 2, 2, 2, 0, 2, 1, 2, 2, 0, 2, 2, 2, 1, 2, 2, 1, 1, 2, 0, 2, 2, 2, 2, 2, 2, 2, 2, 0, 2, 0, 2, 2, 0, 2, 0, 2, 0, 2, 2, 2, 1, 0, 2, 2, 2, 2, 0, 2, 0, 2, 2, 1, 2, 2, 2, 0, 1, 1, 2, 2, 2, 2, 1, 2, 1, 1, 2, 2, 2, 1, 1, 2, 0, 1, 2, 0, 2, 1, 2, 0, 0, 1, 2, 2, 2, 2, 2, 2, 1, 2, 2, 2, 2, 2, 2, 0, 0, 2, 0, 2, 0, 2, 2, 2, 2, 2, 2, 2, 2, 1, 2, 2, 1, 2, 0, 2, 0, 2, 2, 2, 2, 0, 1, 2, 2, 1, 1, 2, 0, 2, 1, 2, 0, 0, 0, 2, 1, 2, 2, 2, 2, 1, 2, 1, 2, 1, 0, 2, 2, 2, 2, 2, 2, 1, 2, 2, 2, 1, 1, 2, 2, 0, 2, 2, 2, 2, 2, 1, 1, 0, 2, 2, 1, 0, 2, 0, 2, 0, 2, 1, 2, 2, 2, 1, 2, 1, 0, 1, 2, 2, 2, 2, 2, 0, 2, 2, 0, 1, 1, 2, 2, 1, 2, 2, 1, 0, 2, 2, 1, 2, 0, 2, 2, 2, 2, 2, 2, 0, 2, 2, 0, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 0, 0, 2, 2, 1, 2, 1, 2, 2, 0, 1, 0, 2, 2, 2, 0, 2, 0, 2, 2, 2, 1, 2, 2, 1, 1, 2, 1, 0, 2, 2, 2, 1, 0, 2, 0, 1, 0, 2, 2, 2, 0, 0, 2, 2, 1, 2, 0, 2, 1, 2, 2, 1, 0, 0, 2, 2, 1, 1, 1, 2, 0, 1, 1, 2, 2, 0, 1, 1, 1, 1, 0, 0, 0, 1, 2, 0, 0, 0, 0, 2, 0, 0, 2, 2, 2, 2, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 0, 1, 2, 2, 1, 2, 2, 2, 1, 1, 0, 2, 2, 2, 1, 2, 0, 2, 0, 2, 1, 0, 2, 2, 1, 1, 2, 2, 2, 1, 1, 1, 1, 2, 1, 2, 2, 2, 1, 2, 1, 2, 2, 0, 2, 2, 0, 2, 2, 2, 2, 1, 0, 1, 1, 2, 2, 1, 2, 1, 2, 0, 2, 2, 2, 2, 0, 1, 2, 2, 2, 2, 1, 2, 2, 1, 1, 1, 2, 1, 2, 2, 2, 1, 1, 2, 2, 2, 2, 2, 2, 0, 0, 2, 1, 0, 1, 2, 2, 2, 0, 2, 1, 2, 2, 0, 1, 1, 1, 0, 2, 1, 1, 2, 0, 2, 2, 2, 2, 1, 1, 1, 0, 2, 2, 1, 2, 2, 2, 2, 1, 2, 2, 0, 0, 0, 2, 1, 0, 1, 2, 1, 1, 2, 1, 2, 2, 2, 2, 1, 0, 1, 2, 0, 2, 2, 2, 2, 1, 1, 2, 2, 2, 2, 1, 2, 2, 1, 1, 2, 1, 1, 2, 2, 2, 2, 2, 2, 2, 0, 1]"
2005,"[2, 2, 0, 2, 2, 2, 2, 2, 1, 2, 2, 1, 1, 2, 2, 2, 2, 2, 2, 0, 1, 0, 2, 1, 2, 2, 2, 1, 1, 2, 2, 2, 2, 0, 1, 2, 2, 0, 1, 2, 1, 0, 0, 2, 2, 0, 2, 2, 0, 2, 2, 1, 0, 2, 2, 2, 1, 2, 2, 1, 2, 0, 2, 2, 2, 2, 1, 1, 2, 1, 2, 1, 2, 2, 1, 2, 1, 2, 1, 2, 1, 2, 2, 1, 2, 2, 2, 0, 2, 0, 2, 1, 2, 2, 0, 2, 2, 2, 1, 2, 2, 2, 0, 2, 2, 0, 2, 0, 2, 2, 2, 2, 2, 0, 2, 0, 2, 2, 2, 2, 2, 2, 0, 0, 2, 1, 2, 2, 2, 2, 1, 2, 2, 2, 0, 0, 2, 2, 1, 0, 0, 0, 2, 1, 1, 2, 2, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 0, 1, 2, 0, 2, 2, 1, 1, 0, 2, 2, 2, 2, 2, 2, 0, 1, 0, 2, 2, 2, 2, 0, 1, 0, 2, 2, 0, 1, 2, 2, 2, 2, 2, 2, 1, 0, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 0, 2, 0, 2, 1, 1, 2, 0, 2, 0, 0, 2, 1, 1, 0, 2, 2, 1, 1, 2, 2, 2, 2, 2, 1, 2, 1, 1, 2, 2, 2, 2, 0, 1, 2, 2, 2, 2, 2, 0, 1, 2, 2, 1, 0, 2, 2, 2, 2, 1, 0, 0, 2, 0, 2, 1, 2, 2, 1, 2, 2, 2, 2, 2, 2, 2, 0, 2, 1, 0, 2, 2, 1, 1, 1, 2, 2, 1, 1, 2, 2, 1, 2, 1, 2]"
