user_id,items_count,total_spent,recommend
--000--,58.0,402.77000000000004,100.0
--ace--,44.0,166.82000000000002,100.0
--ionex--,23.0,109.91999999999997,100.0
-2SV-vuLB-Kg,68.0,437.4900000000002,100.0
-404PageNotFound-,149.0,1514.3100000000004,
-AnimeIsMyThing-,127.0,1199.4300000000003,
-Azsael-,167.0,2461.679999999998,100.0
-Beave-,47.0,54.95,100.0
-Encore-,24.0,287.78000000000003,
-GM-Dragon,106.0,822.4700000000003,50.0
-I_AM_EPIC-,20.0,129.94,100.0
-JT,26.0,229.86000000000004,
-Kenny,118.0,1563.1200000000006,100.0
-KillZone-,114.0,1225.2800000000004,
-Mad-,367.0,3680.179999999976,100.0
-Naughty-,62.0,482.7500000000001,
-PRoSlayeR-,529.0,2540.32999999998,50.0
-SEVEN-,394.0,3641.0399999999736,78.0
-SatansLittleHelper-,28.0,323.78000000000003,100.0
-Thyme-,43.0,519.6800000000002,100.0
-Ultrix,131.0,1467.6800000000007,100.0
-Uplink-,123.0,1516.1700000000005,
-Zovix-,51.0,224.87000000000003,100.0
-_PussyDestroyer_-,51.0,360.6800000000002,60.0
-_skIzZ_-,40.0,374.81000000000006,
-fastrvrs-,18.0,195.89000000000001,
-iBubble,15.0,127.87999999999998,
-kainey9777,69.0,1027.5300000000002,100.0
-xKyox-,49.0,195.85000000000002,
0-3-0,139.0,1639.9400000000007,100.0
00000000000000000001227,93.0,1072.2800000000004,100.0
00000003010,59.0,331.70000000000016,
0000FF,25.0,144.91,
000Infinity000,30.0,109.97,
001000111000111000010,71.0,753.4000000000003,100.0
001002130882,3.0,14.99,
001010001,48.0,325.81000000000006,
0041287,34.0,144.92,
00454211432342,24.0,137.87999999999997,50.0
005577,231.0,2926.249999999991,
00690069006900,102.0,801.3500000000005,100.0
0071945,373.0,4970.799999999963,
007Pro,1.0,0.0,
007james_bond,178.0,2128.6000000000004,
007thesilence,49.0,596.6700000000002,
00810cccyyykkk,7.0,19.98,100.0
008port,71.0,418.67000000000013,
0099654321891111,23.0,188.86,100.0
00True,28.0,302.86000000000007,100.0
00nana,9.0,29.979999999999997,
01001000-01101001,88.0,1338.2100000000005,100.0
010195345,2.0,0.0,
0102705195,3.0,0.0,
010607,28.0,220.80000000000007,
011000100001000111,76.0,851.3100000000003,
011011010111001000101110,26.0,101.87999999999997,100.0
011111135489484797,5.0,29.979999999999997,100.0
01120477677,29.0,233.88000000000005,
0112937783,31.0,434.80000000000007,
01189958889189157253,159.0,1869.740000000001,83.0
0118999881999119,139.0,1314.9400000000007,
01221733,125.0,563.6000000000001,100.0
