item_id,playtime_forever
10,17107858
20,960524
30,756375
40,154424
50,726545
60,156923
70,2650946
80,2469131
100,301732
130,436838
220,10719468
240,111314706
280,484856
300,6103826
320,2832582
340,341011
360,102509
380,1960849
400,5176044
420,2555528
500,12998062
550,101191416
620,26161190
730,775918724
1002,894
1200,270244
1210,0
1230,17390
1250,29737670
1280,261569
1300,10632
1309,81
1313,2019
1320,0
1500,61504
1510,176316
1520,218144
1530,46701
1600,7135
1610,25545
1630,21105
1640,27162
1670,4259
1690,98294
1700,19096
1900,69815
1920,1445
1930,161255
2100,441498
2130,58636
2200,77993
2210,72974
2270,32482
2280,77440
2290,13818
2300,66166
2310,91359
2320,66564
2330,1452
2340,1197
2350,9112
2360,5172
2370,668
2390,8078
2400,1030947
2420,191701
2430,14613
2450,169304
2500,94337
2520,1339
2525,305
2540,5672
2545,3185
2550,6915
2570,811
2590,16213
2600,591896
2610,24930
2620,124111
2630,424896
2640,84626
2680,0
2690,2175
2700,903850
2710,10225
2720,667
2760,460248
2780,18714
2790,303
2800,50132
2810,80502
2820,677256
2840,13912
2850,1001
2870,318716
2900,5661
2910,15216
2920,4289
2930,577
2990,263982
3000,3882
3010,5581
3020,28643
3050,1341
3130,47204
3150,69
3160,1399
3170,114913
3200,2705
3220,9349
3230,4220
3260,5190
3270,18329
3300,27043
3310,8783
3320,47118
3330,28166
3340,1408
3350,6061
3360,8370
3370,52091
3380,17557
3390,22068
3400,1945
3410,4030
3420,534
3430,3798
3440,3432
3450,24312
3460,8635
3470,38590
3480,280256
3483,48481
3490,1058
3500,3291
3510,3478
3520,2273
3530,2631
3540,167130
3560,49468
3570,761
3580,1874
3590,3449814
3600,13931
3610,1722
3620,70480
3630,43712
3650,6845
3700,182883
3710,20318
3720,412306
3730,87267
3800,13384
3810,16393
3820,19833
3830,977809
3900,723525
3910,505537
3920,428101
3960,1014
3970,4508
3980,12286
3990,139336
4000,441871026
4100,1153
4230,80951
4290,73938
4300,2747
4320,746
4400,0
4410,0
4420,5291
4460,5344
4470,879
4500,976303
